"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_property_details_validation","","2026-05-20","skipped","2026-05-20","","","",""
"","6798","Verify primary menu items are visible on home page","tests","2026-05-20","passed","2026-05-20","TestNavigation","test_navigation","",""
"","61182","Verify budget and property filters can be applied on Mumbai search results","tests","2026-05-20","passed","2026-05-20","Test99AcresIndividualCases","test_individual_cases","",""
"","376191","Complete login, Mumbai search, and filter flow in one browser session","tests","2026-05-20","passed","2026-05-20","Test99AcresEndToEnd","test_e2e_99acres","",""
"","97226","Complete Mumbai property search flow in one browser session","tests","2026-05-18","passed","2026-05-18","Test99AcresEndToEnd","test_e2e_99acres","",""
"","7781","Verify the login dialog opens from the home page","tests","2026-05-20","passed","2026-05-20","TestLogin","test_login","",""
"","15543","Verify the login dialog opens from the home page","tests","2026-05-20","passed","2026-05-20","Test99AcresIndividualCases","test_individual_cases","",""
"","50994","Verify Mumbai property search supports requested filter selections","tests","2026-05-18","passed","2026-05-18","TestPropertySearch","test_property_search","",""
"","11903","Verify Mumbai property search loads results","tests","2026-05-20","passed","2026-05-20","Test99AcresIndividualCases","test_individual_cases","",""
"","0","test_property_details_validation","","2026-05-20","skipped","2026-05-20","","","",""
"","37761","Verify configured user can start login flow","tests","2026-05-18","broken","2026-05-18","TestLogin","test_login","",""
"","105231","Verify the user can submit a valid mobile number in the login flow","tests","2026-05-20","passed","2026-05-20","Test99AcresIndividualCases","test_individual_cases","",""
"","25211","Verify a property details page opens from search results","tests","2026-05-20","broken","2026-05-20","TestPropertyDetails","test_property_details","",""
"","58261","Verify a property details page opens from search results","tests","2026-05-20","passed","2026-05-20","Test99AcresIndividualCases","test_individual_cases","",""
"","21748","Verify Mumbai property search loads results","tests","2026-05-20","broken","2026-05-20","TestPropertySearch","test_property_search","",""
"","50497","Complete login, Mumbai search, and filter flow in one browser session","","2026-05-19","passed","2026-05-19","","","",""
"","17699","Verify the user can submit a valid mobile number in the login flow","tests","2026-05-20","passed","2026-05-20","TestLogin","test_login","",""
"","16058","Verify budget and property filters can be applied on Mumbai search results","tests","2026-05-20","broken","2026-05-20","TestPropertyFilters","test_filters","",""
